# JPN    95645	 
# Time   48.7	
# Rstart 3.9128	
# Zstart 0	
# L(m)	 ne(m-3)	
0.000	0.00E+00
0.013	0.00E+00
0.027	0.00E+00
0.040	0.00E+00
0.054	1.01E+16
0.067	1.30E+17
0.081	4.46E+17
0.094	9.47E+17
0.108	1.69E+18
0.121	3.11E+18
0.135	6.52E+18
0.148	1.12E+19
0.162	1.43E+19
0.175	1.60E+19
0.189	1.71E+19
0.202	1.80E+19
0.215	1.87E+19
0.229	1.94E+19
0.242	2.00E+19
0.256	2.06E+19
0.269	2.11E+19
0.283	2.16E+19
0.296	2.21E+19
0.310	2.25E+19
0.323	2.29E+19
0.337	2.33E+19
0.350	2.36E+19
0.364	2.40E+19
0.377	2.43E+19
0.390	2.46E+19
0.404	2.49E+19
0.417	2.52E+19
0.431	2.55E+19
0.444	2.58E+19
0.458	2.61E+19
0.471	2.63E+19
0.485	2.66E+19
0.498	2.68E+19
0.512	2.71E+19
0.525	2.73E+19
0.539	2.76E+19
0.552	2.79E+19
0.566	2.81E+19
0.579	2.84E+19
0.592	2.87E+19
0.606	2.90E+19
0.619	2.93E+19
0.633	2.96E+19
0.646	2.99E+19
0.660	3.02E+19
0.673	3.05E+19
0.687	3.08E+19
0.700	3.10E+19
0.714	3.13E+19
0.727	3.15E+19
0.741	3.18E+19
0.754	3.21E+19
0.768	3.24E+19
0.781	3.25E+19
0.794	3.26E+19
0.808	3.27E+19
0.821	3.29E+19
0.835	3.30E+19
0.848	3.32E+19
0.862	3.33E+19
0.875	3.34E+19
0.889	3.35E+19
0.902	3.37E+19
0.916	3.38E+19
0.929	3.39E+19
0.943	3.39E+19
0.956	3.40E+19
0.970	3.41E+19
0.983	3.42E+19
0.996	3.43E+19
1.010	3.43E+19
1.023	3.43E+19
1.037	3.43E+19
1.050	3.43E+19
1.064	3.43E+19
1.077	3.43E+19
1.091	3.43E+19
1.104	3.43E+19
1.118	3.43E+19
1.131	3.43E+19
1.145	3.43E+19
1.158	3.43E+19
1.172	3.43E+19
1.185	3.43E+19
1.198	3.43E+19
1.212	3.42E+19
1.225	3.42E+19
1.239	3.41E+19
1.252	3.41E+19
1.266	3.40E+19
1.279	3.39E+19
1.293	3.38E+19
1.306	3.36E+19
1.320	3.35E+19
1.333	3.33E+19
1.347	3.32E+19
1.360	3.30E+19
1.373	3.28E+19
1.387	3.26E+19
1.400	3.25E+19
1.414	3.21E+19
1.427	3.13E+19
1.441	3.06E+19
1.454	3.03E+19
1.468	3.02E+19
1.481	3.00E+19
1.495	2.99E+19
1.508	2.97E+19
1.522	2.95E+19
1.535	2.94E+19
1.549	2.92E+19
1.562	2.91E+19
1.575	2.90E+19
1.589	2.89E+19
1.602	2.88E+19
1.616	2.87E+19
1.629	2.86E+19
1.643	2.85E+19
1.656	2.85E+19
1.670	2.85E+19
1.683	2.85E+19
1.697	2.85E+19
1.710	2.85E+19
1.724	2.85E+19
1.737	2.85E+19
1.751	2.85E+19
1.764	2.85E+19
1.777	2.85E+19
1.791	2.85E+19
1.804	2.85E+19
1.818	2.85E+19
1.831	2.85E+19
1.845	2.85E+19
1.858	2.85E+19
1.872	2.85E+19
1.885	2.85E+19
1.899	2.85E+19
1.912	2.85E+19
1.926	2.85E+19
1.939	2.85E+19
1.952	2.85E+19
1.966	2.85E+19
1.979	2.85E+19
1.993	2.85E+19
2.006	2.85E+19
